"","year","Label (Grouping)","state","series","measure","value"
"1",2017,"Total civilian noninstitutionalized population","Alabama","Total","Estimate",4793512
"2",2017,"Total civilian noninstitutionalized population","Alabama","Total.Uninsured","Estimate",448926
"3",2017,"Total civilian noninstitutionalized population","Alabama","Uninsured.Share",NA,9.36528374185774
"4",2017,"Total civilian noninstitutionalized population","Alaska","Total","Estimate",716178
"5",2017,"Total civilian noninstitutionalized population","Alaska","Total.Uninsured","Estimate",97796
"6",2017,"Total civilian noninstitutionalized population","Alaska","Uninsured.Share",NA,13.6552644733572
"7",2017,"Total civilian noninstitutionalized population","Arizona","Total","Estimate",6908121
"8",2017,"Total civilian noninstitutionalized population","Arizona","Total.Uninsured","Estimate",694790
"9",2017,"Total civilian noninstitutionalized population","Arizona","Uninsured.Share",NA,10.0575829520068
"10",2017,"Total civilian noninstitutionalized population","Arkansas","Total","Estimate",2949305
"11",2017,"Total civilian noninstitutionalized population","Arkansas","Total.Uninsured","Estimate",231802
"12",2017,"Total civilian noninstitutionalized population","Arkansas","Uninsured.Share",NA,7.85954657114134
"13",2017,"Total civilian noninstitutionalized population","California","Total","Estimate",39046835
"14",2017,"Total civilian noninstitutionalized population","California","Total.Uninsured","Estimate",2796589
"15",2017,"Total civilian noninstitutionalized population","California","Uninsured.Share",NA,7.16214003004341
"16",2017,"Total civilian noninstitutionalized population","Colorado","Total","Estimate",5514070
"17",2017,"Total civilian noninstitutionalized population","Colorado","Total.Uninsured","Estimate",414077
"18",2017,"Total civilian noninstitutionalized population","Colorado","Uninsured.Share",NA,7.50946215771653
"19",2017,"Total civilian noninstitutionalized population","Connecticut","Total","Estimate",3536522
"20",2017,"Total civilian noninstitutionalized population","Connecticut","Total.Uninsured","Estimate",193796
"21",2017,"Total civilian noninstitutionalized population","Connecticut","Uninsured.Share",NA,5.47984714926134
"22",2017,"Total civilian noninstitutionalized population","Florida","Total","Estimate",20678704
"23",2017,"Total civilian noninstitutionalized population","Florida","Total.Uninsured","Estimate",2676147
"24",2017,"Total civilian noninstitutionalized population","Florida","Uninsured.Share",NA,12.9415605542784
"25",2017,"Total civilian noninstitutionalized population","Georgia","Total","Estimate",10241594
"26",2017,"Total civilian noninstitutionalized population","Georgia","Total.Uninsured","Estimate",1375176
"27",2017,"Total civilian noninstitutionalized population","Georgia","Uninsured.Share",NA,13.4273629671319
"28",2017,"Total civilian noninstitutionalized population","Idaho","Total","Estimate",1695273
"29",2017,"Total civilian noninstitutionalized population","Idaho","Total.Uninsured","Estimate",172013
"30",2017,"Total civilian noninstitutionalized population","Idaho","Uninsured.Share",NA,10.146625351787
"31",2017,"Total civilian noninstitutionalized population","Illinois","Total","Estimate",12620126
"32",2017,"Total civilian noninstitutionalized population","Illinois","Total.Uninsured","Estimate",859257
"33",2017,"Total civilian noninstitutionalized population","Illinois","Uninsured.Share",NA,6.80862457316195
"34",2017,"Total civilian noninstitutionalized population","Indiana","Total","Estimate",6568434
"35",2017,"Total civilian noninstitutionalized population","Indiana","Total.Uninsured","Estimate",536399
"36",2017,"Total civilian noninstitutionalized population","Indiana","Uninsured.Share",NA,8.16631483242429
"37",2017,"Total civilian noninstitutionalized population","Iowa","Total","Estimate",3102179
"38",2017,"Total civilian noninstitutionalized population","Iowa","Total.Uninsured","Estimate",146017
"39",2017,"Total civilian noninstitutionalized population","Iowa","Uninsured.Share",NA,4.70691729909847
"40",2017,"Total civilian noninstitutionalized population","Kansas","Total","Estimate",2855454
"41",2017,"Total civilian noninstitutionalized population","Kansas","Total.Uninsured","Estimate",249392
"42",2017,"Total civilian noninstitutionalized population","Kansas","Uninsured.Share",NA,8.73388259800368
"43",2017,"Total civilian noninstitutionalized population","Kentucky","Total","Estimate",4370940
"44",2017,"Total civilian noninstitutionalized population","Kentucky","Total.Uninsured","Estimate",235227
"45",2017,"Total civilian noninstitutionalized population","Kentucky","Uninsured.Share",NA,5.38161127812324
"46",2017,"Total civilian noninstitutionalized population","Louisiana","Total","Estimate",4580258
"47",2017,"Total civilian noninstitutionalized population","Louisiana","Total.Uninsured","Estimate",382649
"48",2017,"Total civilian noninstitutionalized population","Louisiana","Uninsured.Share",NA,8.35431104536033
"49",2017,"Total civilian noninstitutionalized population","Maine","Total","Estimate",1321649
"50",2017,"Total civilian noninstitutionalized population","Maine","Total.Uninsured","Estimate",107067
"51",2017,"Total civilian noninstitutionalized population","Maine","Uninsured.Share",NA,8.10101623048177
"52",2017,"Total civilian noninstitutionalized population","Maryland","Total","Estimate",5957871
"53",2017,"Total civilian noninstitutionalized population","Maryland","Total.Uninsured","Estimate",365597
"54",2017,"Total civilian noninstitutionalized population","Maryland","Uninsured.Share",NA,6.13636985426506
"55",2017,"Total civilian noninstitutionalized population","Massachusetts","Total","Estimate",6785622
"56",2017,"Total civilian noninstitutionalized population","Massachusetts","Total.Uninsured","Estimate",189801
"57",2017,"Total civilian noninstitutionalized population","Massachusetts","Uninsured.Share",NA,2.79710540905462
"58",2017,"Total civilian noninstitutionalized population","Michigan","Total","Estimate",9853156
"59",2017,"Total civilian noninstitutionalized population","Michigan","Total.Uninsured","Estimate",509539
"60",2017,"Total civilian noninstitutionalized population","Michigan","Uninsured.Share",NA,5.17132784663107
"61",2017,"Total civilian noninstitutionalized population","Minnesota","Total","Estimate",5519199
"62",2017,"Total civilian noninstitutionalized population","Minnesota","Total.Uninsured","Estimate",242509
"63",2017,"Total civilian noninstitutionalized population","Minnesota","Uninsured.Share",NA,4.39391658101112
"64",2017,"Total civilian noninstitutionalized population","Mississippi","Total","Estimate",2920808
"65",2017,"Total civilian noninstitutionalized population","Mississippi","Total.Uninsured","Estimate",351754
"66",2017,"Total civilian noninstitutionalized population","Mississippi","Uninsured.Share",NA,12.0430374060876
"67",2017,"Total civilian noninstitutionalized population","Missouri","Total","Estimate",6000326
"68",2017,"Total civilian noninstitutionalized population","Missouri","Total.Uninsured","Estimate",548271
"69",2017,"Total civilian noninstitutionalized population","Missouri","Uninsured.Share",NA,9.13735353712448
"70",2017,"Total civilian noninstitutionalized population","Montana","Total","Estimate",1036245
"71",2017,"Total civilian noninstitutionalized population","Montana","Total.Uninsured","Estimate",87709
"72",2017,"Total civilian noninstitutionalized population","Montana","Uninsured.Share",NA,8.46411804158283
"73",2017,"Total civilian noninstitutionalized population","Nebraska","Total","Estimate",1891453
"74",2017,"Total civilian noninstitutionalized population","Nebraska","Total.Uninsured","Estimate",156784
"75",2017,"Total civilian noninstitutionalized population","Nebraska","Uninsured.Share",NA,8.289077233217
"76",2017,"Total civilian noninstitutionalized population","Nevada","Total","Estimate",2962236
"77",2017,"Total civilian noninstitutionalized population","Nevada","Total.Uninsured","Estimate",332624
"78",2017,"Total civilian noninstitutionalized population","Nevada","Uninsured.Share",NA,11.2288149897577
