SAGDP1 State annual gross domestic product (GDP) summary
SAGDP1 State annual gross domestic product (GDP) summary
State or DC
GeoFips,GeoName,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
00000,United States,2.7,1.6,2.3,2.1,2.5,2.9,1.8,2.5,3.0,2.6,-2.2,6.1,2.5,2.9,2.8
01000,Alabama,2.7,1.0,1.1,1.6,-0.4,1.4,1.9,1.8,1.9,2.0,-1.3,5.1,2.1,2.8,3.0
02000,Alaska,-2.4,0.7,5.6,-4.3,-2.4,0.7,-0.4,0.2,-2.0,-0.2,-3.9,2.2,-1.3,6.5,1.5
04000,Arizona,1.7,2.9,2.3,0.6,1.0,2.3,3.4,4.4,4.0,3.8,1.5,8.2,3.8,3.0,2.7
05000,Arkansas,2.9,2.0,1.2,2.8,1.3,0.1,1.2,0.7,2.0,0.7,0.9,7.1,1.5,2.4,3.7
06000,California,2.0,1.8,2.9,3.8,3.8,4.8,3.1,4.5,4.0,4.2,-1.2,7.5,0.9,2.0,3.6
08000,Colorado,1.4,1.6,1.9,4.2,4.6,4.8,2.2,3.7,4.3,5.1,-0.9,6.9,3.0,4.4,1.9
09000,Connecticut,0.5,-2.0,0.8,-1.8,0.7,3.2,-0.3,2.1,0.3,0.2,-5.3,3.5,3.4,2.7,2.6
10000,Delaware,-1.3,4.1,-0.8,-2.7,7.7,3.0,-5.6,-3.3,1.9,5.3,-2.8,3.0,3.3,1.1,2.1
11000,District of Columbia,4.1,1.9,0.8,0.4,2.2,1.8,2.4,1.6,2.8,0.6,-0.9,4.0,1.0,1.0,1.4
12000,Florida,1.4,-0.3,1.0,2.6,2.9,4.4,3.5,3.7,3.5,3.3,-1.4,9.4,5.9,4.3,3.6
13000,Georgia,1.6,2.0,1.6,2.2,3.5,4.4,4.0,3.9,3.0,3.3,-2.6,6.3,3.5,1.9,3.4
15000,Hawaii,2.7,1.4,2.0,2.3,1.0,3.1,2.2,2.1,1.6,0.0,-10.1,5.7,2.9,2.0,1.9
16000,Idaho,2.2,0.1,-1.1,4.5,3.1,1.5,3.9,3.5,6.5,4.5,1.9,7.6,4.4,3.2,3.9
17000,Illinois,2.0,2.2,2.4,0.6,2.0,1.7,0.1,0.8,2.2,0.8,-5.6,5.6,2.4,1.0,1.1
18000,Indiana,7.0,0.2,0.7,2.9,3.2,-0.8,2.1,2.6,3.1,0.5,-2.9,7.6,3.1,1.3,3.8
19000,Iowa,3.1,1.8,3.9,0.1,5.4,3.1,0.4,0.2,1.1,-0.4,-1.1,8.0,0.2,0.2,-0.5
20000,Kansas,1.4,2.8,1.5,0.4,2.3,2.9,3.8,1.0,2.1,-0.1,-0.9,2.8,2.7,3.6,1.0
21000,Kentucky,4.8,0.9,1.9,2.4,0.0,1.4,0.8,1.3,1.2,2.8,-2.7,4.4,2.1,2.1,2.4
22000,Louisiana,4.8,-4.8,0.5,-2.4,2.8,-1.4,-1.7,1.8,2.2,0.6,-7.2,3.9,-0.4,5.0,3.1
23000,Maine,2.0,-0.9,-0.4,-0.3,1.0,1.6,2.4,1.6,2.9,3.0,1.0,5.5,2.7,3.0,3.0
24000,Maryland,4.9,2.1,0.4,0.8,1.6,2.3,3.5,2.0,0.7,0.0,-3.4,4.7,2.3,1.6,2.2
25000,Massachusetts,4.8,2.2,2.2,0.8,1.9,3.7,1.4,1.6,3.6,3.1,-1.2,6.5,2.0,1.2,2.9
26000,Michigan,6.0,2.9,2.1,2.0,1.4,2.3,1.9,1.0,2.3,0.8,-3.7,5.7,2.5,1.9,2.1
27000,Minnesota,3.8,2.3,1.9,2.7,2.7,2.0,1.5,1.2,2.8,1.3,-3.3,5.7,1.8,1.6,1.1
28000,Mississippi,1.3,-0.2,2.0,0.4,0.2,0.1,0.5,0.3,-0.1,0.9,-0.8,4.9,0.8,2.6,2.4
29000,Missouri,2.2,-1.0,1.2,1.9,0.5,1.4,0.1,0.9,0.9,2.3,-1.9,5.2,2.4,2.6,2.3
30000,Montana,3.7,2.5,1.8,1.8,2.3,3.5,-1.2,2.7,2.0,1.6,-0.6,6.6,3.5,3.9,2.0
31000,Nebraska,4.0,5.6,0.0,1.5,3.8,3.4,1.4,1.6,1.9,1.6,-0.7,6.5,3.3,4.0,0.6
32000,Nevada,1.6,1.2,-0.9,1.1,0.5,4.0,3.3,4.6,3.3,4.4,-5.7,9.9,4.4,2.6,2.8
33000,New Hampshire,3.5,0.7,0.8,1.9,1.8,3.2,1.8,0.5,1.3,2.6,-1.5,8.2,1.6,2.2,3.2
34000,New Jersey,1.5,-1.1,2.2,1.8,0.0,1.9,1.0,0.5,2.8,1.9,-3.5,5.9,2.8,2.1,2.3
35000,New Mexico,-0.1,-0.2,0.2,-0.7,2.8,1.0,-0.5,0.2,3.1,4.4,-2.7,3.4,2.4,6.8,2.2
36000,New York,3.8,0.6,3.9,0.4,2.2,2.0,1.6,2.2,2.5,2.4,-2.8,4.8,1.7,1.5,2.4
37000,North Carolina,1.8,0.5,0.8,1.9,2.5,3.0,2.1,2.0,1.8,2.0,-0.6,6.3,3.2,3.0,3.7
38000,North Dakota,7.6,11.9,23.2,2.6,10.1,-2.5,-6.7,3.2,3.5,1.5,-6.0,1.0,-0.8,7.8,-0.7
39000,Ohio,2.3,2.9,1.1,2.8,3.6,1.3,0.8,2.2,0.6,2.7,-2.8,5.4,0.7,2.1,2.5
40000,Oklahoma,0.8,3.7,5.0,2.4,6.0,3.9,-1.9,1.3,1.8,2.1,-4.3,1.3,-0.1,7.2,2.3
41000,Oregon,2.1,2.9,0.7,1.2,3.3,5.0,4.5,5.0,3.9,2.3,-1.0,5.4,2.3,2.3,1.2
42000,Pennsylvania,3.3,1.4,1.9,2.2,2.1,2.2,1.5,1.3,1.3,1.0,-4.6,4.0,1.8,2.5,2.4
44000,Rhode Island,2.9,0.0,0.8,1.0,1.0,1.4,0.4,0.2,-0.1,2.4,-3.2,4.4,2.4,1.6,3.2
45000,South Carolina,2.6,2.4,1.1,2.4,3.0,3.5,3.4,2.0,3.0,3.2,-2.2,5.2,3.6,3.1,4.2
46000,South Dakota,1.3,6.3,2.1,-0.1,2.1,2.5,0.8,0.7,0.6,1.1,0.5,5.2,-0.5,3.6,0.4
47000,Tennessee,1.9,3.0,3.4,2.1,1.7,3.6,2.4,3.5,2.0,2.2,-0.6,8.8,3.6,1.8,2.4
48000,Texas,2.9,3.6,5.0,5.1,3.2,4.8,0.0,2.0,4.8,3.4,-1.8,5.9,3.9,7.4,3.6
49000,Utah,2.1,3.4,1.7,3.1,3.5,3.6,4.6,5.9,5.8,5.9,1.0,8.1,3.3,3.7,4.5
50000,Vermont,4.5,2.5,0.7,-1.3,1.1,0.6,0.8,0.9,0.7,1.6,-3.3,4.6,3.1,1.4,2.3
51000,Virginia,3.4,0.8,0.7,1.2,0.0,2.1,1.2,2.0,2.4,2.5,-1.2,5.8,2.7,2.9,3.1
53000,Washington,3.2,2.0,3.6,3.1,3.8,4.5,4.0,6.3,6.6,4.8,0.1,6.9,2.2,5.1,3.7
54000,West Virginia,1.3,1.9,-0.1,1.1,0.2,0.2,-1.0,2.3,3.0,-0.3,-3.4,1.6,1.9,4.7,3.5
55000,Wisconsin,3.7,2.1,1.8,0.9,2.6,2.0,1.1,0.8,2.2,1.3,-3.2,3.7,1.6,1.4,2.8
56000,Wyoming,-3.6,-0.5,-2.2,0.9,2.3,2.0,-5.5,-0.6,0.9,1.6,-6.2,2.6,1.9,6.3,0.8

Legend/Footnotes
"1. Real GDP is in millions of chained 2017 dollars. Calculations are performed on unrounded data. Chained (2017) dollar series are calculated as the product of the chain-type quantity index and the 2017 current-dollar value of the corresponding series, divided by 100. Because the formula for the chain-type quantity indexes uses weights of more than one period, the corresponding chained-dollar estimates are usually not additive. The difference between the United States and sum-of-states reflects federal military and civilian activity located overseas, as well as the differences in source data used to estimate GDP by industry and the expenditures measure of real GDP."
"  Last updated: March 28, 2025-- new statistics for 2024."
