"SASUMMARY State annual summary statistics: personal income, GDP, consumer spending, price indexes, and employment"
"SASUMMARY State annual summary statistics: personal income, GDP, consumer spending, price indexes, and employment"
State or DC
GeoFips,GeoName,LineCode,Description,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
00000,United States,,Real dollar statistics,,,,,,,,,,,,,,,,,,,,,,,,,,
00000,United States,1,"  Real GDP (millions of chained 2017 dollars) 1",4.8,4.1,1.0,1.7,2.8,3.8,3.5,2.8,2.0,0.1,-2.6,2.7,1.6,2.3,2.1,2.5,2.9,1.8,2.5,3.0,2.6,-2.2,6.1,2.5,2.9,2.8
00000,United States,2,"  Real personal income (millions of constant (2017) dollars) 2",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),-2.7,2.2,3.4,2.6,-0.2,3.6,4.5,1.7,3.1,3.0,3.3,5.7,4.9,-3.2,2.1,(NA)
00000,United States,3,"  Real PCE (millions of constant (2017) dollars) 3",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),-1.3,1.9,1.7,1.4,1.7,2.8,3.4,2.5,2.6,2.7,2.1,-2.5,8.8,3.0,2.5,(NA)
00000,United States,,Current dollar statistics (millions of dollars),,,,,,,,,,,,,,,,,,,,,,,,,,
00000,United States,4,"  Gross domestic product (GDP)",6.3,6.4,3.2,3.3,4.8,6.6,6.7,6.0,4.8,2.0,-2.0,3.9,3.7,4.2,3.9,4.3,3.9,2.8,4.3,5.3,4.3,-0.9,10.9,9.8,6.6,5.3
00000,United States,5,"  Personal income",5.2,8.0,4.3,1.7,3.6,5.6,5.3,7.1,5.6,4.2,-2.9,4.1,6.0,4.6,1.1,5.1,4.7,2.7,4.9,5.1,4.8,6.8,9.2,3.1,5.9,5.4
00000,United States,6,"  Disposable personal income",4.8,7.5,5.0,4.4,4.7,5.8,4.1,6.5,5.0,4.6,-0.1,3.7,4.7,4.6,-0.1,4.9,4.1,3.0,4.9,5.7,4.6,7.5,7.7,0.7,9.0,5.2
00000,United States,7,"  Personal consumption expenditures",6.9,7.7,4.5,3.9,5.3,6.3,6.5,5.8,5.1,3.1,-1.6,3.7,4.3,3.3,3.1,4.3,3.6,3.5,4.4,4.8,3.6,-1.5,13.3,9.8,6.4,(NA)
00000,United States,,Real per capita dollar statistics (constant 2017 dollars),,,,,,,,,,,,,,,,,,,,,,,,,,
00000,United States,8,"  Real per capita personal income 4",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),-3.5,1.4,2.6,1.8,-0.9,2.8,3.6,0.9,2.4,2.4,2.8,5.2,4.7,-3.6,1.6,(NA)
00000,United States,9,"  Real per capita PCE 5",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),-2.2,1.0,0.9,0.6,1.0,2.0,2.6,1.7,1.9,2.1,1.6,-2.9,8.6,2.7,2.0,(NA)
00000,United States,,Per capita current dollar statistics,,,,,,,,,,,,,,,,,,,,,,,,,,
00000,United States,10,"  Per capita personal income 6",4.0,6.9,3.3,0.8,2.7,4.7,4.3,6.1,4.6,3.2,-3.8,3.2,5.2,3.7,0.4,4.2,3.8,1.9,4.1,4.5,4.2,6.4,9.0,2.6,5.0,4.3
00000,United States,11,"  Per capita disposable personal income 7",3.6,6.3,3.9,3.5,3.8,4.8,3.2,5.5,4.0,3.6,-1.0,2.8,3.9,3.8,-0.8,4.1,3.3,2.1,4.2,5.1,4.1,7.0,7.6,0.1,8.1,4.2
00000,United States,12,"  Per capita personal consumption expenditures (PCE) 8",5.7,6.5,3.5,2.9,4.4,5.4,5.5,4.8,4.1,2.1,-2.4,2.9,3.5,2.4,2.3,3.4,2.7,2.7,3.7,4.2,3.1,-1.9,13.1,9.4,5.9,(NA)
00000,United States,,Price indexes,,,,,,,,,,,,,,,,,,,,,,,,,,
00000,United States,13,"  Regional price parities (RPPs) 9",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(NA)
00000,United States,14,"  Implicit regional price deflator 10",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
00000,United States,,Employment,,,,,,,,,,,,,,,,,,,,,,,,,,
00000,United States,15,"  Total employment (number of jobs)",1.9,2.4,0.1,-0.3,0.5,1.8,2.1,2.0,2.1,-0.2,-3.1,-0.4,1.8,1.6,1.9,2.1,2.2,1.6,1.5,2.0,0.7,-3.2,3.8,3.8,2.8,(NA)
01000,Alabama,,Real dollar statistics,,,,,,,,,,,,,,,,,,,,,,,,,,
01000,Alabama,1,"  Real GDP (millions of chained 2017 dollars) 1",3.8,1.3,-0.1,2.4,3.3,6.7,3.9,1.4,1.1,-0.5,-3.4,2.7,1.0,1.1,1.6,-0.4,1.4,1.9,1.8,1.9,2.0,-1.3,5.1,2.1,2.8,3.0
01000,Alabama,2,"  Real personal income (millions of constant (2017) dollars) 2",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),0.3,0.1,0.7,0.0,-0.1,2.0,4.8,-0.1,2.5,4.9,2.0,7.1,5.4,-3.5,-0.5,(NA)
01000,Alabama,3,"  Real PCE (millions of constant (2017) dollars) 3",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),0.2,-0.9,0.5,-0.2,1.8,1.8,3.3,1.3,2.4,4.7,1.9,-0.9,8.0,1.8,-0.6,(NA)
01000,Alabama,,Current dollar statistics (millions of dollars),,,,,,,,,,,,,,,,,,,,,,,,,,
01000,Alabama,4,"  Gross domestic product (GDP)",5.1,3.4,2.5,3.9,5.3,9.7,6.9,4.6,3.7,1.4,-2.2,3.9,3.0,2.9,3.0,1.6,3.1,2.8,3.7,4.5,3.8,0.2,10.5,9.6,7.0,5.3
01000,Alabama,5,"  Personal income",3.4,4.6,3.6,2.8,4.6,7.0,5.8,6.3,5.0,3.8,-1.3,4.1,3.6,2.5,0.9,3.3,4.5,1.8,3.7,3.9,4.6,7.2,10.5,2.9,5.6,5.6
01000,Alabama,6,"  Disposable personal income",3.3,4.8,3.7,4.6,5.4,7.4,4.7,5.5,4.8,4.1,1.0,3.9,2.7,2.9,0.2,3.4,4.0,1.6,4.0,4.6,4.2,7.8,9.7,0.6,7.6,5.5
01000,Alabama,7,"  Personal consumption expenditures",5.7,5.8,3.9,4.3,5.0,6.2,6.6,5.1,4.5,2.4,-1.3,3.2,3.4,2.3,2.9,3.1,3.0,3.3,3.6,3.6,4.5,-0.7,13.1,8.4,5.5,(NA)
01000,Alabama,,Real per capita dollar statistics (constant 2017 dollars),,,,,,,,,,,,,,,,,,,,,,,,,,
01000,Alabama,8,"  Real per capita personal income 4",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),-0.6,-0.6,0.2,-0.6,-0.6,1.6,4.3,-0.6,2.1,4.4,1.5,6.5,5.0,-3.9,-1.2,(NA)
01000,Alabama,9,"  Real per capita PCE 5",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),-0.6,-1.5,0.0,-0.7,1.3,1.3,2.8,0.8,1.9,4.2,1.4,-1.5,7.6,1.4,-1.3,(NA)
01000,Alabama,,Per capita current dollar statistics,,,,,,,,,,,,,,,,,,,,,,,,,,
01000,Alabama,10,"  Per capita personal income 6",2.8,4.1,3.2,2.5,4.0,6.3,4.9,5.0,4.0,2.8,-2.2,3.5,3.1,1.9,0.4,2.8,4.0,1.3,3.3,3.4,4.1,6.6,10.1,2.3,4.7,4.8
01000,Alabama,11,"  Per capita disposable personal income 7",2.7,4.3,3.3,4.3,4.9,6.7,3.8,4.2,3.8,3.1,0.1,3.3,2.1,2.3,-0.3,2.9,3.6,1.1,3.6,4.1,3.6,7.2,9.3,0.1,6.8,4.7
01000,Alabama,12,"  Per capita personal consumption expenditures (PCE) 8",5.1,5.2,3.5,4.0,4.5,5.6,5.7,3.7,3.5,1.5,-2.2,2.5,2.8,1.7,2.3,2.6,2.5,2.8,3.2,3.1,3.9,-1.2,12.7,7.9,4.8,(NA)
01000,Alabama,,Price indexes,,,,,,,,,,,,,,,,,,,,,,,,,,
01000,Alabama,13,"  Regional price parities (RPPs) 9",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),-1.3,2.2,0.3,0.6,-0.3,-0.2,-0.5,1.0,-0.5,-3.0,1.0,-0.8,0.6,-0.1,2.2,(NA)
01000,Alabama,14,"  Implicit regional price deflator 10",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),-1.5,4.1,2.8,2.5,1.0,1.2,-0.3,2.0,1.2,-1.0,2.5,0.3,4.7,6.5,6.1,(NA)
01000,Alabama,,Employment,,,,,,,,,,,,,,,,,,,,,,,,,,
01000,Alabama,15,"  Total employment (number of jobs)",0.7,0.6,-0.7,-0.5,0.3,2.3,2.5,2.4,2.3,-0.8,-4.0,-0.8,1.5,0.2,0.8,1.2,1.4,1.2,1.1,1.6,0.7,-1.5,3.7,3.1,3.0,(NA)
02000,Alaska,,Real dollar statistics,,,,,,,,,,,,,,,,,,,,,,,,,,
02000,Alaska,1,"  Real GDP (millions of chained 2017 dollars) 1",-1.2,-3.4,4.1,4.7,-1.6,4.0,3.6,7.1,5.4,-0.4,10.1,-2.4,0.7,5.6,-4.3,-2.4,0.7,-0.4,0.2,-2.0,-0.2,-3.9,2.2,-1.3,6.5,1.5
02000,Alaska,2,"  Real personal income (millions of constant (2017) dollars) 2",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),-1.4,8.4,4.3,1.8,-1.9,3.6,2.1,-3.1,-0.9,2.0,2.2,2.6,-1.4,1.2,0.3,(NA)
02000,Alaska,3,"  Real PCE (millions of constant (2017) dollars) 3",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),-0.4,6.2,2.2,2.5,1.2,1.3,0.8,0.4,0.3,1.5,2.2,-4.4,5.3,5.3,2.6,(NA)
02000,Alaska,,Current dollar statistics (millions of dollars),,,,,,,,,,,,,,,,,,,,,,,,,,
02000,Alaska,4,"  Gross domestic product (GDP)",2.2,8.1,6.4,4.3,7.5,10.2,14.3,11.1,10.0,11.7,-9.2,7.0,6.1,2.5,-1.4,-1.6,-8.9,-0.9,4.8,2.3,-0.4,-6.0,14.9,12.4,2.7,2.8
02000,Alaska,5,"  Personal income",3.0,7.4,5.9,4.9,4.7,4.5,6.5,6.4,7.5,10.4,0.4,7.2,7.1,3.0,-1.1,5.4,3.1,-1.5,1.5,3.8,2.2,2.0,6.3,5.0,3.8,6.0
02000,Alaska,6,"  Disposable personal income",3.3,7.3,5.8,7.0,5.7,5.1,5.9,5.9,6.7,10.1,2.8,7.1,6.4,3.3,-2.1,5.4,2.7,-1.0,2.2,4.6,1.7,2.5,5.6,3.5,5.3,6.1
02000,Alaska,7,"  Personal consumption expenditures",6.3,7.7,5.9,7.2,5.8,6.3,6.9,3.9,5.5,4.4,1.6,5.0,4.9,3.6,2.0,3.1,1.9,2.1,2.8,3.3,2.2,-4.9,13.4,9.2,6.2,(NA)
02000,Alaska,,Real per capita dollar statistics (constant 2017 dollars),,,,,,,,,,,,,,,,,,,,,,,,,,
02000,Alaska,8,"  Real per capita personal income 4",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),-3.1,6.1,3.0,0.6,-2.8,3.7,1.9,-3.7,-0.7,2.6,2.6,2.9,-1.7,1.4,0.3,(NA)
